timestamp,user_input,response,confidence,escalated
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2025-04-18 15:59:22.526520,How is the weather,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.40)",0.40,Rejected
2025-04-18 15:59:33.271271,what is your name,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.21)",0.21,Rejected
2025-04-18 15:59:44.666843,How to shut down my computer,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.41)",0.41,Rejected
2025-04-18 15:59:45.963787,How to shut down my computer,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.41)",0.41,Rejected
2025-04-18 15:59:53.443420,I cannot open browser,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.47)",0.47,Rejected
2025-04-18 16:00:01.653437,how to edit my file,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.17)",0.17,Rejected
2025-04-18 16:04:14.598566,How to edit a text file,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.23)",0.23,Rejected
2025-04-18 16:08:17.329432,I cannot connect to the wifi,I have to connect to the wifi first,0.41,Accepted
2025-04-18 16:08:30.966139,I cannot wake up early,I can't remember if I can or not,0.25,Accepted
2025-04-18 16:10:01.878087,I cannot login to my email server,I have to go to the server and type in my password,0.45,Accepted
2025-04-18 16:10:10.318303,I cannot print,"I can't print either
###",0.30,Accepted
2025-04-18 16:10:19.973083,How to shutdown my linux,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.17)",0.17,Rejected
2025-04-18 16:10:28.513801,How to shutdown my linux system,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.29)",0.29,Rejected
2025-04-18 16:10:41.812855,I cannot open my email,I can't open my email,0.59,Accepted
2025-04-18 16:10:54.744952,How to install microsoft office,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.27)",0.27,Rejected
2025-04-18 16:11:01.602499,How to install python,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.26)",0.26,Rejected
2025-04-18 16:11:44.687646,reset my password,you can reset your password by going to the login page and clicking on the reset button,0.79,Accepted
2025-04-18 16:36:12.113787,reset my ,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.28)",0.28,Rejected
2025-04-18 16:36:20.625671,reset my password,you can reset your password by going to the login page and clicking on the reset button,0.79,Accepted
2025-04-18 16:37:46.102666,reset my password,you can reset your password by going to the login page and clicking on the reset button,0.79,Accepted
2025-04-18 16:37:50.619580,reset my pass,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.28)",0.28,Rejected
2025-04-18 16:37:57.989748,reset my password,you can reset your password by going to the login page and clicking on the reset button,0.79,Accepted
2025-04-18 16:39:30.088860,reset my password,you can reset your password by going to the login page and clicking on the reset button,0.79,Accepted
2025-04-18 16:39:33.120089,reset my pas,"❌ Sorry, I can only assist with IT-related queries. (confidence: 0.28)",0.28,Rejected
2025-04-18 16:39:40.156107,reset my password,you can reset your password by going to the login page and clicking on the reset button,0.79,Accepted
